age,annual_income,spending_score,synthetic_segment
25,19.6,82.5,0
28,15.0,61.98,0
24,26.84,74.83,0
19,38.79,82.78,0
24,41.27,79.68,0
19,33.69,65.41,0
28,29.5,73.15,0
20,42.23,73.45,0
21,26.48,80.32,0
25,34.13,79.31,0
34,25.94,69.88,0
19,36.16,86.29,0
23,21.6,66.76,0
27,37.43,80.43,0
20,32.32,76.17,0
25,38.71,77.24,0
27,30.68,77.89,0
27,15.43,71.8,0
21,23.61,72.25,0
31,21.34,84.68,0
18,26.65,76.63,0
26,37.11,82.93,0
22,25.38,83.58,0
23,17.24,63.67,0
19,34.97,76.42,0
27,25.73,76.59,0
27,26.91,79.57,0
20,26.37,71.18,0
18,34.87,70.31,0
24,34.81,79.47,0
48,64.02,40.77,1
44,48.13,30.53,1
38,55.03,49.0,1
40,61.22,57.99,1
43,72.38,35.66,1
43,55.5,41.61,1
49,47.73,49.34,1
46,59.06,30.54,1
45,59.71,47.33,1
45,81.02,42.61,1
39,66.79,47.2,1
51,73.35,48.57,1
52,53.11,38.6,1
40,61.1,31.23,1
48,62.78,30.29,1
39,68.14,53.38,1
54,94.14,49.14,1
40,43.68,47.68,1
40,60.85,38.88,1
44,75.66,46.57,1
44,54.64,28.25,1
42,64.46,62.68,1
45,74.83,40.01,1
39,55.35,37.75,1
55,56.79,53.38,1
40,74.32,48.85,1
44,64.59,38.45,1
47,60.45,32.74,1
38,66.73,60.79,1
45,63.81,47.86,1
40,87.19,75.89,2
39,89.29,95.36,2
34,72.76,66.32,2
42,102.24,78.2,2
32,99.61,68.93,2
29,91.43,76.05,2
33,83.37,83.38,2
41,85.91,86.44,2
23,84.51,71.57,2
27,76.22,76.66,2
38,71.74,80.31,2
31,81.72,90.03,2
36,98.37,78.45,2
30,82.76,82.42,2
34,74.16,80.9,2
35,110.17,98.77,2
29,82.13,65.37,2
31,88.16,92.06,2
30,78.46,58.53,2
33,74.38,74.71,2
29,84.06,62.42,2
26,106.29,67.13,2
28,103.37,100.0,2
28,81.32,83.42,2
42,75.13,77.55,2
37,89.35,76.24,2
33,71.25,77.62,2
32,87.32,74.45,2
36,95.13,81.55,2
35,85.53,80.0,2
54,58.16,24.03,3
68,70.73,28.86,3
54,43.88,36.91,3
59,59.8,7.55,3
62,59.54,13.9,3
55,57.64,25.52,3
56,53.97,22.48,3
58,69.71,1.0,3
56,56.77,27.96,3
56,37.43,28.28,3
66,39.66,33.64,3
56,54.39,14.47,3
56,68.0,30.83,3
66,66.77,29.39,3
66,59.39,33.28,3
56,55.67,18.03,3
62,43.22,32.82,3
57,66.71,32.51,3
67,62.31,9.28,3
57,43.28,19.82,3
65,61.38,18.01,3
52,55.33,12.83,3
54,58.12,36.55,3
61,32.09,28.04,3
58,59.14,41.16,3
47,49.09,30.91,3
50,69.76,28.68,3
62,49.29,33.14,3
63,57.33,27.34,3
59,46.37,23.52,3
39,113.83,45.0,4
34,108.75,49.81,4
36,101.78,37.02,4
44,110.11,48.29,4
44,118.42,40.54,4
51,107.95,14.96,4
48,105.42,36.08,4
46,93.98,22.48,4
31,102.06,39.4,4
42,112.76,20.87,4
28,110.54,30.28,4
42,117.02,36.38,4
43,112.29,40.3,4
36,108.2,36.97,4
44,106.06,40.21,4
38,108.82,43.3,4
30,97.04,20.18,4
28,103.22,42.49,4
38,111.98,45.89,4
46,109.31,48.54,4
40,101.63,29.06,4
32,101.12,31.42,4
44,127.21,21.18,4
41,99.59,39.75,4
39,91.69,44.28,4
36,104.66,24.3,4
36,114.28,33.11,4
41,113.62,48.21,4
38,95.23,45.67,4
38,121.15,38.83,4
